set,id,m,n,cmax,runtime,peak_kb
medium_instances.yaml,0,10,200,977,0.0028142929077148438,6.83984375
medium_instances.yaml,1,10,200,996,0.0025818347930908203,6.83984375
medium_instances.yaml,2,10,200,969,0.002710580825805664,6.83984375
medium_instances.yaml,3,10,200,1041,0.004442453384399414,11.04296875
medium_instances.yaml,4,10,200,1023,0.000904083251953125,4.42578125
medium_instances.yaml,5,10,200,961,0.0025763511657714844,6.83984375
medium_instances.yaml,6,10,200,1046,0.0025823116302490234,6.83984375
medium_instances.yaml,7,10,200,960,0.0009369850158691406,4.42578125
medium_instances.yaml,8,10,200,993,0.003056764602661133,6.77734375
medium_instances.yaml,9,10,200,1025,0.0043790340423583984,11.04296875
medium_instances.yaml,10,10,200,940,0.0008835792541503906,4.42578125
medium_instances.yaml,11,10,200,1053,0.00661778450012207,11.04296875
medium_instances.yaml,12,10,200,1053,0.0015590190887451172,4.42578125
medium_instances.yaml,13,10,200,969,0.003015279769897461,6.83984375
medium_instances.yaml,14,10,200,1003,0.0044040679931640625,6.83984375
medium_instances.yaml,15,10,200,972,0.003214120864868164,6.83984375
medium_instances.yaml,16,10,200,950,0.0008783340454101562,4.42578125
medium_instances.yaml,17,10,200,1064,0.002490520477294922,6.83984375
medium_instances.yaml,18,10,200,1071,0.0029535293579101562,6.83984375
medium_instances.yaml,19,10,200,977,0.002608060836791992,6.83984375
medium_instances.yaml,20,10,200,1042,0.0024797916412353516,6.83984375
medium_instances.yaml,21,10,200,1028,0.002483367919921875,6.83984375
medium_instances.yaml,22,10,200,1019,0.004057884216308594,11.04296875
medium_instances.yaml,23,10,200,973,0.002780914306640625,6.83984375
medium_instances.yaml,24,10,200,1011,0.0043756961822509766,11.04296875
medium_instances.yaml,25,10,200,989,0.0025644302368164062,6.83984375
medium_instances.yaml,26,10,200,1049,0.0038406848907470703,6.83984375
medium_instances.yaml,27,10,200,957,0.0041348934173583984,6.83984375
medium_instances.yaml,28,10,200,985,0.002786397933959961,6.83984375
medium_instances.yaml,29,10,200,1018,0.002535104751586914,6.83984375
medium_instances.yaml,30,10,200,940,0.0008993148803710938,4.42578125
medium_instances.yaml,31,10,200,1091,0.0010385513305664062,4.42578125
medium_instances.yaml,32,10,200,1003,0.0008523464202880859,4.42578125
medium_instances.yaml,33,10,200,1016,0.002545595169067383,6.77734375
medium_instances.yaml,34,10,200,996,0.0008831024169921875,4.42578125
medium_instances.yaml,35,10,200,975,0.002776622772216797,6.83984375
medium_instances.yaml,36,10,200,990,0.005008697509765625,11.04296875
medium_instances.yaml,37,10,200,1029,0.0029599666595458984,6.83984375
medium_instances.yaml,38,10,200,1032,0.002724885940551758,6.83984375
medium_instances.yaml,39,10,200,1009,0.0033745765686035156,6.83984375
medium_instances.yaml,40,10,200,968,0.0012793540954589844,4.42578125
medium_instances.yaml,41,10,200,1054,0.0026557445526123047,6.83984375
medium_instances.yaml,42,10,200,1039,0.0009691715240478516,4.42578125
medium_instances.yaml,43,10,200,1032,0.003672361373901367,6.83984375
medium_instances.yaml,44,10,200,1049,0.0026891231536865234,6.83984375
medium_instances.yaml,45,10,200,971,0.002572774887084961,6.83984375
medium_instances.yaml,46,10,200,951,0.0014569759368896484,4.42578125
